Image,Particle_ID,Final_Status,Status_By_Area_Diameter,Status_By_Roundness,Status_By_Solidity,Status_By_Black_Filter,Status_By_Outer_Yellow_Ring,Status_By_Background_Contrast,Calibration_Mode,Threshold_Method,Area_um2,Diameter_from_area_um,Diameter_Feret_um,Circularity,Roundness,Solidity,X_um,Y_um,Black_Center_Percent,Yellow_Ring_Flagged_Angles_Percent,Yellow_Ring_Longest_Arc_Percent,Mean_R,Mean_G,Mean_B,Background_Mean_RGB,Center_Background_Contrast,ScaleBar_px,Um_per_px
test picture.tif,1,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4401.592,74.862,79.027,0.861,0.938,0.963,704.652,45.672,100.000,0.000,0.000,17.6,18.2,31.9,124.2,101.7,99.000,1.010101
test picture.tif,2,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4480.155,75.527,79.958,0.885,0.935,0.973,999.684,55.959,100.000,0.000,0.000,15.8,17.5,30.3,126.1,104.9,99.000,1.010101
test picture.tif,3,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4845.424,78.545,82.662,0.887,0.938,0.975,469.591,82.710,100.000,0.000,0.000,16.6,18.3,33.9,133.9,111.0,99.000,1.010101
test picture.tif,4,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4561.779,76.212,79.721,0.886,0.948,0.973,261.902,83.334,100.000,0.000,0.000,16.5,17.5,31.8,139.7,117.7,99.000,1.010101
test picture.tif,5,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4503.622,75.724,80.314,0.895,0.913,0.976,1071.201,100.123,100.000,1.389,1.389,15.1,16.3,29.6,123.9,103.6,99.000,1.010101
test picture.tif,6,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4449.546,75.268,77.784,0.905,0.978,0.977,654.779,133.836,100.000,0.000,0.000,17.5,19.0,33.3,147.2,123.9,99.000,1.010101
test picture.tif,7,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4192.429,73.061,77.172,0.887,0.945,0.970,183.384,157.642,100.000,0.000,0.000,16.0,16.7,31.9,110.2,88.7,99.000,1.010101
test picture.tif,8,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4041.424,71.734,76.053,0.899,0.925,0.974,1125.154,163.563,100.000,0.000,0.000,16.0,16.9,33.7,131.6,109.4,99.000,1.010101
test picture.tif,9,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4349.556,74.418,79.085,0.883,0.920,0.970,253.281,175.747,100.000,1.389,1.389,16.4,17.0,34.1,125.1,102.6,99.000,1.010101
test picture.tif,10,valid,valid,valid,valid,black,valid,valid,auto_fixed_first_image,Otsu,4771.962,77.948,80.871,0.877,0.968,0.975,951.410,197.622,100.000,0.000,0.000,15.2,17.9,29.9,149.2,128.2,99.000,1.010101
